Number,level1,level2,level3,level4,level5
1,0.0 (%),34.7 (%),55.8 (%),9.5 (%),0.0 (%)
2,0.0 (%),41.2 (%),54.3 (%),4.4 (%),0.0 (%)
3,0.0 (%),28.3 (%),68.3 (%),3.3 (%),0.0 (%)
4,0.0 (%),34.2 (%),61.0 (%),4.8 (%),0.0 (%)
5,0.0 (%),43.8 (%),50.0 (%),6.2 (%),0.0 (%)
6,0.0 (%),51.0 (%),48.4 (%),0.6 (%),0.0 (%)
7,0.0 (%),41.7 (%),55.3 (%),3.0 (%),0.0 (%)
8,0.0 (%),49.6 (%),47.8 (%),2.5 (%),0.0 (%)
9,0.0 (%),56.5 (%),40.7 (%),2.8 (%),0.0 (%)
10,0.0 (%),72.9 (%),27.1 (%),0.0 (%),0.0 (%)
11,0.9 (%),87.1 (%),11.8 (%),0.2 (%),0.0 (%)
12,1.5 (%),84.6 (%),13.2 (%),0.6 (%),0.0 (%)
13,21.6 (%),72.8 (%),4.8 (%),0.8 (%),0.0 (%)
14,1.1 (%),80.0 (%),17.8 (%),1.1 (%),0.0 (%)
