Number,level1,level2,level3,level4,level5
1,0.0 (%),43.8 (%),56.2 (%),0.0 (%),0.0 (%)
2,0.0 (%),43.8 (%),56.2 (%),0.0 (%),0.0 (%)
3,0.0 (%),31.2 (%),65.6 (%),3.2 (%),0.0 (%)
4,0.0 (%),45.6 (%),49.4 (%),5.0 (%),0.0 (%)
5,0.0 (%),39.8 (%),55.2 (%),5.0 (%),0.0 (%)
6,0.0 (%),46.4 (%),49.5 (%),4.1 (%),0.0 (%)
7,0.0 (%),64.3 (%),29.5 (%),6.2 (%),0.0 (%)
8,0.0 (%),58.3 (%),41.7 (%),0.0 (%),0.0 (%)
9,0.0 (%),47.2 (%),50.0 (%),2.8 (%),0.0 (%)
10,0.0 (%),77.8 (%),22.2 (%),0.0 (%),0.0 (%)
11,0.0 (%),83.1 (%),16.9 (%),0.0 (%),0.0 (%)
12,0.0 (%),53.3 (%),46.7 (%),0.0 (%),0.0 (%)
13,0.0 (%),66.7 (%),33.3 (%),0.0 (%),0.0 (%)
14,0.0 (%),56.2 (%),43.8 (%),0.0 (%),0.0 (%)
15,0.0 (%),56.0 (%),44.0 (%),0.0 (%),0.0 (%)
