Number,level1,level2,level3,level4,level5
1,0.0 (%),54.2 (%),41.7 (%),4.2 (%),0.0 (%)
2,0.0 (%),40.3 (%),54.7 (%),4.9 (%),0.0 (%)
3,0.0 (%),28.2 (%),63.6 (%),8.1 (%),0.0 (%)
4,0.0 (%),51.6 (%),43.2 (%),5.3 (%),0.0 (%)
5,0.0 (%),63.5 (%),33.3 (%),3.2 (%),0.0 (%)
6,0.0 (%),50.8 (%),38.1 (%),11.1 (%),0.0 (%)
7,0.0 (%),44.0 (%),52.0 (%),4.0 (%),0.0 (%)
8,0.0 (%),47.0 (%),47.6 (%),5.4 (%),0.0 (%)
9,0.0 (%),49.0 (%),40.8 (%),10.2 (%),0.0 (%)
10,0.0 (%),40.0 (%),60.0 (%),0.0 (%),0.0 (%)
11,0.3 (%),99.7 (%),0.0 (%),0.0 (%),0.0 (%)
12,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
13,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
