Number,level1,level2,level3,level4,level5
1,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
2,0.0 (%),36.1 (%),63.9 (%),0.0 (%),0.0 (%)
3,0.0 (%),37.0 (%),63.0 (%),0.0 (%),0.0 (%)
4,0.0 (%),36.4 (%),63.2 (%),0.4 (%),0.0 (%)
5,0.0 (%),40.5 (%),56.5 (%),3.0 (%),0.0 (%)
6,0.0 (%),59.5 (%),40.5 (%),0.0 (%),0.0 (%)
7,0.0 (%),85.8 (%),14.2 (%),0.0 (%),0.0 (%)
8,0.0 (%),91.7 (%),8.2 (%),0.1 (%),0.0 (%)
9,0.0 (%),90.0 (%),10.0 (%),0.0 (%),0.0 (%)
10,8.4 (%),84.4 (%),7.3 (%),0.0 (%),0.0 (%)
11,0.0 (%),85.7 (%),14.3 (%),0.0 (%),0.0 (%)
12,3.6 (%),85.5 (%),10.9 (%),0.0 (%),0.0 (%)
13,17.5 (%),72.5 (%),10.0 (%),0.0 (%),0.0 (%)
14,30.4 (%),62.5 (%),7.1 (%),0.0 (%),0.0 (%)
