Number,level1,level2,level3,level4,level5
1,0.0 (%),62.5 (%),34.9 (%),2.6 (%),0.0 (%)
2,0.0 (%),56.2 (%),40.4 (%),3.3 (%),0.0 (%)
3,0.0 (%),38.3 (%),57.4 (%),4.3 (%),0.0 (%)
4,0.0 (%),43.5 (%),48.0 (%),8.5 (%),0.0 (%)
5,0.0 (%),53.1 (%),43.8 (%),3.1 (%),0.0 (%)
6,0.0 (%),50.8 (%),45.5 (%),3.7 (%),0.0 (%)
7,0.0 (%),75.3 (%),23.1 (%),1.6 (%),0.0 (%)
8,0.0 (%),81.0 (%),18.0 (%),1.0 (%),0.0 (%)
9,2.4 (%),83.4 (%),12.0 (%),2.2 (%),0.0 (%)
10,4.2 (%),75.9 (%),18.8 (%),1.1 (%),0.0 (%)
11,0.7 (%),75.7 (%),18.1 (%),5.6 (%),0.0 (%)
12,4.9 (%),80.2 (%),14.8 (%),0.0 (%),0.0 (%)
13,23.7 (%),67.1 (%),7.2 (%),1.9 (%),0.0 (%)
