Number,level1,level2,level3,level4,level5
1,0.0 (%),25.0 (%),70.8 (%),4.2 (%),0.0 (%)
2,0.0 (%),12.0 (%),88.0 (%),0.0 (%),0.0 (%)
3,0.0 (%),51.2 (%),42.8 (%),6.1 (%),0.0 (%)
4,0.0 (%),27.7 (%),61.0 (%),11.3 (%),0.0 (%)
5,0.0 (%),53.1 (%),41.8 (%),5.1 (%),0.0 (%)
6,0.0 (%),32.2 (%),56.8 (%),11.0 (%),0.0 (%)
7,0.0 (%),37.4 (%),53.1 (%),9.4 (%),0.0 (%)
8,0.0 (%),44.3 (%),47.3 (%),8.3 (%),0.0 (%)
9,0.0 (%),56.1 (%),37.9 (%),6.1 (%),0.0 (%)
10,0.0 (%),46.2 (%),49.2 (%),4.5 (%),0.0 (%)
11,0.0 (%),65.7 (%),27.7 (%),6.6 (%),0.0 (%)
12,0.0 (%),77.8 (%),19.3 (%),2.8 (%),0.0 (%)
13,0.0 (%),74.4 (%),22.2 (%),3.4 (%),0.0 (%)
14,0.0 (%),86.9 (%),13.1 (%),0.0 (%),0.0 (%)
