Number,level1,level2,level3,level4,level5
1,0.0 (%),41.7 (%),58.3 (%),0.0 (%),0.0 (%)
2,0.0 (%),16.7 (%),83.3 (%),0.0 (%),0.0 (%)
3,0.0 (%),37.5 (%),62.5 (%),0.0 (%),0.0 (%)
4,0.0 (%),37.5 (%),62.5 (%),0.0 (%),0.0 (%)
5,0.0 (%),39.3 (%),60.7 (%),0.0 (%),0.0 (%)
6,0.0 (%),27.4 (%),72.6 (%),0.0 (%),0.0 (%)
7,0.0 (%),27.3 (%),70.5 (%),2.3 (%),0.0 (%)
8,0.0 (%),27.0 (%),73.0 (%),0.0 (%),0.0 (%)
9,0.0 (%),25.7 (%),74.3 (%),0.0 (%),0.0 (%)
10,4.3 (%),92.9 (%),2.8 (%),0.0 (%),0.0 (%)
11,6.4 (%),93.6 (%),0.0 (%),0.0 (%),0.0 (%)
