Number,level1,level2,level3,level4,level5
1,0.5 (%),29.1 (%),65.5 (%),5.0 (%),0.0 (%)
2,0.0 (%),35.1 (%),60.7 (%),4.2 (%),0.0 (%)
3,0.0 (%),19.4 (%),67.5 (%),13.1 (%),0.0 (%)
4,0.0 (%),53.4 (%),40.7 (%),5.8 (%),0.0 (%)
5,0.0 (%),64.6 (%),30.8 (%),4.5 (%),0.0 (%)
6,0.0 (%),73.5 (%),22.8 (%),3.7 (%),0.0 (%)
7,0.0 (%),81.0 (%),19.0 (%),0.0 (%),0.0 (%)
8,0.0 (%),77.6 (%),22.4 (%),0.0 (%),0.0 (%)
9,0.0 (%),40.0 (%),60.0 (%),0.0 (%),0.0 (%)
10,0.0 (%),79.5 (%),20.5 (%),0.0 (%),0.0 (%)
11,0.0 (%),52.0 (%),48.0 (%),0.0 (%),0.0 (%)
