Number,level1,level2,level3,level4,level5
1,0.0 (%),52.0 (%),47.0 (%),1.0 (%),0.0 (%)
2,0.0 (%),59.6 (%),40.4 (%),0.0 (%),0.0 (%)
3,0.0 (%),36.7 (%),61.1 (%),2.2 (%),0.0 (%)
4,0.0 (%),44.5 (%),55.0 (%),0.5 (%),0.0 (%)
5,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
6,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
7,0.0 (%),55.2 (%),44.8 (%),0.0 (%),0.0 (%)
8,0.0 (%),77.5 (%),22.5 (%),0.0 (%),0.0 (%)
9,0.0 (%),78.3 (%),21.7 (%),0.0 (%),0.0 (%)
10,0.0 (%),80.4 (%),19.3 (%),0.4 (%),0.0 (%)
11,0.0 (%),86.3 (%),13.8 (%),0.0 (%),0.0 (%)
