Number,level1,level2,level3,level4,level5
1,0.0 (%),55.2 (%),39.5 (%),5.2 (%),0.0 (%)
2,0.0 (%),47.3 (%),49.2 (%),3.6 (%),0.0 (%)
3,0.0 (%),34.6 (%),56.3 (%),9.1 (%),0.0 (%)
4,0.0 (%),25.0 (%),75.0 (%),0.0 (%),0.0 (%)
5,0.0 (%),40.5 (%),50.9 (%),8.6 (%),0.0 (%)
6,0.0 (%),58.0 (%),39.8 (%),2.2 (%),0.0 (%)
7,0.0 (%),45.8 (%),53.0 (%),1.2 (%),0.0 (%)
8,0.0 (%),55.3 (%),41.9 (%),2.8 (%),0.0 (%)
9,0.0 (%),60.4 (%),39.1 (%),0.5 (%),0.0 (%)
10,0.0 (%),70.5 (%),29.5 (%),0.0 (%),0.0 (%)
11,0.0 (%),88.5 (%),11.0 (%),0.5 (%),0.0 (%)
