Number,level1,level2,level3,level4,level5
1,0.0 (%),53.2 (%),46.8 (%),0.0 (%),0.0 (%)
2,0.0 (%),49.2 (%),50.8 (%),0.0 (%),0.0 (%)
3,0.0 (%),32.4 (%),60.2 (%),7.4 (%),0.0 (%)
4,0.0 (%),32.3 (%),63.9 (%),3.9 (%),0.0 (%)
5,0.0 (%),36.2 (%),57.7 (%),6.2 (%),0.0 (%)
6,0.0 (%),38.6 (%),58.9 (%),2.5 (%),0.0 (%)
7,0.0 (%),49.5 (%),46.2 (%),4.4 (%),0.0 (%)
8,0.0 (%),44.7 (%),52.4 (%),2.9 (%),0.0 (%)
9,0.0 (%),56.3 (%),41.3 (%),2.4 (%),0.0 (%)
10,0.0 (%),55.7 (%),44.3 (%),0.0 (%),0.0 (%)
11,0.0 (%),49.5 (%),50.0 (%),0.5 (%),0.0 (%)
12,0.0 (%),63.1 (%),36.4 (%),0.6 (%),0.0 (%)
13,0.0 (%),61.8 (%),37.7 (%),0.5 (%),0.0 (%)
14,0.0 (%),86.0 (%),13.7 (%),0.3 (%),0.0 (%)
15,0.0 (%),87.0 (%),13.0 (%),0.0 (%),0.0 (%)
16,3.7 (%),95.2 (%),1.1 (%),0.0 (%),0.0 (%)
17,9.7 (%),90.3 (%),0.0 (%),0.0 (%),0.0 (%)
18,0.0 (%),97.6 (%),2.4 (%),0.0 (%),0.0 (%)
