Number,level1,level2,level3,level4,level5
1,0.0 (%),38.1 (%),61.9 (%),0.0 (%),0.0 (%)
2,0.0 (%),32.0 (%),68.0 (%),0.0 (%),0.0 (%)
3,0.0 (%),30.3 (%),68.2 (%),1.5 (%),0.0 (%)
4,0.0 (%),33.0 (%),67.0 (%),0.0 (%),0.0 (%)
5,0.0 (%),37.1 (%),57.1 (%),5.8 (%),0.0 (%)
6,0.0 (%),41.7 (%),55.0 (%),3.3 (%),0.0 (%)
7,0.0 (%),42.5 (%),55.0 (%),2.5 (%),0.0 (%)
8,0.0 (%),46.8 (%),47.6 (%),5.6 (%),0.0 (%)
9,0.0 (%),71.0 (%),25.5 (%),3.5 (%),0.0 (%)
10,0.0 (%),72.0 (%),28.0 (%),0.0 (%),0.0 (%)
11,0.0 (%),60.6 (%),35.9 (%),3.5 (%),0.0 (%)
12,0.0 (%),81.0 (%),19.0 (%),0.0 (%),0.0 (%)
13,7.5 (%),87.5 (%),5.0 (%),0.0 (%),0.0 (%)
14,1.7 (%),94.3 (%),3.9 (%),0.0 (%),0.0 (%)
