Number,level1,level2,level3,level4,level5
1,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
2,0.0 (%),52.9 (%),47.1 (%),0.0 (%),0.0 (%)
3,0.0 (%),42.4 (%),57.6 (%),0.0 (%),0.0 (%)
4,0.0 (%),45.8 (%),52.1 (%),2.1 (%),0.0 (%)
5,0.0 (%),64.7 (%),35.3 (%),0.0 (%),0.0 (%)
6,0.0 (%),71.5 (%),27.5 (%),1.0 (%),0.0 (%)
7,0.0 (%),68.3 (%),31.7 (%),0.0 (%),0.0 (%)
8,0.0 (%),70.0 (%),30.0 (%),0.0 (%),0.0 (%)
9,0.3 (%),94.4 (%),5.3 (%),0.0 (%),0.0 (%)
10,30.7 (%),69.3 (%),0.0 (%),0.0 (%),0.0 (%)
11,32.4 (%),67.6 (%),0.0 (%),0.0 (%),0.0 (%)
