Number,level1,level2,level3,level4,level5
1,0.0 (%),45.8 (%),54.2 (%),0.0 (%),0.0 (%)
2,0.0 (%),36.3 (%),62.5 (%),1.3 (%),0.0 (%)
3,2.0 (%),58.4 (%),39.5 (%),0.0 (%),0.0 (%)
4,0.0 (%),45.6 (%),51.7 (%),2.8 (%),0.0 (%)
5,0.0 (%),63.7 (%),36.3 (%),0.0 (%),0.0 (%)
6,0.0 (%),54.8 (%),42.3 (%),3.0 (%),0.0 (%)
7,0.0 (%),43.8 (%),53.1 (%),3.1 (%),0.0 (%)
8,0.0 (%),58.3 (%),41.7 (%),0.0 (%),0.0 (%)
9,0.0 (%),53.1 (%),46.9 (%),0.0 (%),0.0 (%)
10,0.7 (%),97.8 (%),1.6 (%),0.0 (%),0.0 (%)
11,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
12,3.4 (%),91.4 (%),5.2 (%),0.0 (%),0.0 (%)
13,0.0 (%),85.2 (%),14.8 (%),0.0 (%),0.0 (%)
14,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
15,0.0 (%),84.7 (%),13.9 (%),1.4 (%),0.0 (%)
