Number,level1,level2,level3,level4,level5
1,0.0 (%),66.7 (%),33.3 (%),0.0 (%),0.0 (%)
2,0.0 (%),30.0 (%),70.0 (%),0.0 (%),0.0 (%)
3,0.0 (%),22.8 (%),70.6 (%),6.6 (%),0.0 (%)
4,0.0 (%),27.3 (%),61.7 (%),11.0 (%),0.0 (%)
5,0.0 (%),38.7 (%),51.1 (%),10.2 (%),0.0 (%)
6,0.0 (%),46.6 (%),48.2 (%),5.3 (%),0.0 (%)
7,0.0 (%),58.6 (%),38.6 (%),2.9 (%),0.0 (%)
8,0.0 (%),52.9 (%),40.8 (%),6.2 (%),0.0 (%)
9,0.0 (%),54.5 (%),41.1 (%),4.3 (%),0.0 (%)
10,0.0 (%),57.3 (%),37.7 (%),5.0 (%),0.0 (%)
11,0.0 (%),68.3 (%),30.2 (%),1.6 (%),0.0 (%)
12,0.0 (%),78.2 (%),19.5 (%),2.3 (%),0.0 (%)
13,0.0 (%),83.2 (%),14.9 (%),1.9 (%),0.0 (%)
14,26.7 (%),73.3 (%),0.0 (%),0.0 (%),0.0 (%)
