Number,level1,level2,level3,level4,level5
1,0.0 (%),31.1 (%),64.1 (%),4.8 (%),0.0 (%)
2,0.0 (%),47.4 (%),49.1 (%),3.5 (%),0.0 (%)
3,0.2 (%),65.7 (%),32.2 (%),1.9 (%),0.0 (%)
4,0.0 (%),43.3 (%),52.9 (%),3.8 (%),0.0 (%)
5,0.0 (%),51.4 (%),47.6 (%),1.0 (%),0.0 (%)
6,0.0 (%),46.0 (%),54.0 (%),0.0 (%),0.0 (%)
7,0.0 (%),58.0 (%),40.3 (%),1.7 (%),0.0 (%)
8,2.6 (%),82.7 (%),14.7 (%),0.0 (%),0.0 (%)
9,9.5 (%),80.0 (%),10.4 (%),0.0 (%),0.0 (%)
10,9.0 (%),77.0 (%),14.0 (%),0.0 (%),0.0 (%)
11,3.1 (%),83.1 (%),13.8 (%),0.0 (%),0.0 (%)
