Number,level1,level2,level3,level4,level5
1,0.0 (%),40.5 (%),59.5 (%),0.0 (%),0.0 (%)
2,0.0 (%),34.8 (%),61.6 (%),3.5 (%),0.0 (%)
3,0.0 (%),48.1 (%),51.9 (%),0.0 (%),0.0 (%)
4,0.0 (%),56.5 (%),41.7 (%),1.8 (%),0.0 (%)
5,0.0 (%),39.0 (%),60.0 (%),1.0 (%),0.0 (%)
6,0.0 (%),53.6 (%),46.4 (%),0.0 (%),0.0 (%)
7,0.0 (%),59.5 (%),40.5 (%),0.0 (%),0.0 (%)
8,0.0 (%),37.5 (%),62.5 (%),0.0 (%),0.0 (%)
9,0.0 (%),69.8 (%),30.2 (%),0.0 (%),0.0 (%)
10,0.0 (%),56.2 (%),43.8 (%),0.0 (%),0.0 (%)
11,1.0 (%),92.7 (%),6.3 (%),0.0 (%),0.0 (%)
