Number,level1,level2,level3,level4,level5
1,0.0 (%),48.0 (%),52.0 (%),0.0 (%),0.0 (%)
2,0.0 (%),67.8 (%),32.2 (%),0.0 (%),0.0 (%)
3,0.0 (%),67.7 (%),32.3 (%),0.0 (%),0.0 (%)
4,0.0 (%),37.7 (%),62.3 (%),0.0 (%),0.0 (%)
5,0.0 (%),40.3 (%),59.7 (%),0.0 (%),0.0 (%)
6,0.0 (%),48.5 (%),51.5 (%),0.0 (%),0.0 (%)
7,0.0 (%),35.2 (%),64.8 (%),0.0 (%),0.0 (%)
8,0.0 (%),45.0 (%),55.0 (%),0.0 (%),0.0 (%)
9,0.0 (%),60.0 (%),40.0 (%),0.0 (%),0.0 (%)
10,0.0 (%),96.0 (%),4.0 (%),0.0 (%),0.0 (%)
11,0.0 (%),97.0 (%),3.0 (%),0.0 (%),0.0 (%)
12,0.0 (%),97.2 (%),2.8 (%),0.0 (%),0.0 (%)
