Number,level1,level2,level3,level4,level5
1,0.0 (%),31.6 (%),60.5 (%),7.9 (%),0.0 (%)
2,0.0 (%),25.9 (%),58.7 (%),15.4 (%),0.0 (%)
3,0.0 (%),55.6 (%),44.4 (%),0.0 (%),0.0 (%)
4,0.0 (%),27.3 (%),64.1 (%),8.6 (%),0.0 (%)
5,0.0 (%),37.3 (%),48.8 (%),13.9 (%),0.0 (%)
6,0.0 (%),55.4 (%),39.0 (%),5.6 (%),0.0 (%)
7,0.0 (%),54.8 (%),33.8 (%),11.4 (%),0.0 (%)
8,0.0 (%),52.5 (%),41.4 (%),6.1 (%),0.0 (%)
9,0.0 (%),50.0 (%),35.0 (%),15.0 (%),0.0 (%)
10,0.0 (%),58.3 (%),36.1 (%),5.6 (%),0.0 (%)
11,0.0 (%),66.5 (%),28.4 (%),5.1 (%),0.0 (%)
12,0.6 (%),60.8 (%),35.8 (%),2.8 (%),0.0 (%)
13,0.0 (%),54.3 (%),45.7 (%),0.0 (%),0.0 (%)
