Number,level1,level2,level3,level4,level5
1,0.0 (%),65.4 (%),34.6 (%),0.0 (%),0.0 (%)
2,0.0 (%),27.3 (%),72.7 (%),0.0 (%),0.0 (%)
3,0.0 (%),44.3 (%),52.9 (%),2.9 (%),0.0 (%)
4,0.0 (%),44.2 (%),55.8 (%),0.0 (%),0.0 (%)
5,0.0 (%),38.1 (%),60.3 (%),1.6 (%),0.0 (%)
6,0.0 (%),76.7 (%),23.3 (%),0.0 (%),0.0 (%)
7,0.0 (%),70.7 (%),28.8 (%),0.5 (%),0.0 (%)
8,0.0 (%),48.6 (%),51.4 (%),0.0 (%),0.0 (%)
9,0.0 (%),76.6 (%),23.4 (%),0.0 (%),0.0 (%)
10,6.5 (%),87.3 (%),6.2 (%),0.0 (%),0.0 (%)
11,0.4 (%),97.8 (%),1.8 (%),0.0 (%),0.0 (%)
12,0.0 (%),98.1 (%),1.9 (%),0.0 (%),0.0 (%)
