Number,level1,level2,level3,level4,level5
1,0.0 (%),11.1 (%),88.9 (%),0.0 (%),0.0 (%)
2,0.0 (%),34.0 (%),63.9 (%),2.1 (%),0.0 (%)
3,0.0 (%),34.4 (%),65.6 (%),0.0 (%),0.0 (%)
4,0.0 (%),37.9 (%),60.5 (%),1.6 (%),0.0 (%)
5,0.0 (%),42.1 (%),55.4 (%),2.5 (%),0.0 (%)
6,0.0 (%),59.4 (%),37.2 (%),3.3 (%),0.0 (%)
7,0.0 (%),61.5 (%),38.1 (%),0.4 (%),0.0 (%)
8,0.0 (%),69.3 (%),30.7 (%),0.0 (%),0.0 (%)
9,0.0 (%),53.3 (%),46.7 (%),0.0 (%),0.0 (%)
10,1.6 (%),91.7 (%),6.8 (%),0.0 (%),0.0 (%)
11,0.0 (%),90.1 (%),9.9 (%),0.0 (%),0.0 (%)
