Number,level1,level2,level3,level4,level5
1,0.0 (%),37.5 (%),62.5 (%),0.0 (%),0.0 (%)
2,0.0 (%),51.2 (%),48.8 (%),0.0 (%),0.0 (%)
3,0.0 (%),45.4 (%),51.9 (%),2.8 (%),0.0 (%)
4,0.0 (%),38.0 (%),57.0 (%),5.0 (%),0.0 (%)
5,0.0 (%),62.5 (%),34.3 (%),3.2 (%),0.0 (%)
6,0.0 (%),47.6 (%),42.9 (%),9.5 (%),0.0 (%)
7,0.0 (%),55.5 (%),40.0 (%),4.5 (%),0.0 (%)
8,0.0 (%),49.5 (%),43.8 (%),6.7 (%),0.0 (%)
9,0.0 (%),58.7 (%),37.6 (%),3.7 (%),0.0 (%)
10,0.0 (%),44.9 (%),55.1 (%),0.0 (%),0.0 (%)
11,0.0 (%),67.5 (%),30.5 (%),1.9 (%),0.0 (%)
12,0.0 (%),60.0 (%),40.0 (%),0.0 (%),0.0 (%)
13,0.0 (%),92.8 (%),7.2 (%),0.0 (%),0.0 (%)
