Number,level1,level2,level3,level4,level5
1,0.0 (%),47.8 (%),49.7 (%),2.5 (%),0.0 (%)
2,0.0 (%),47.2 (%),52.5 (%),0.3 (%),0.0 (%)
3,0.0 (%),28.0 (%),66.0 (%),6.0 (%),0.0 (%)
4,0.0 (%),39.0 (%),61.0 (%),0.0 (%),0.0 (%)
5,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
6,0.0 (%),57.1 (%),38.4 (%),4.5 (%),0.0 (%)
7,0.0 (%),78.3 (%),21.7 (%),0.0 (%),0.0 (%)
8,0.0 (%),47.6 (%),45.2 (%),7.1 (%),0.0 (%)
9,0.0 (%),56.7 (%),43.3 (%),0.0 (%),0.0 (%)
10,6.2 (%),90.5 (%),3.2 (%),0.0 (%),0.0 (%)
11,0.0 (%),89.1 (%),10.9 (%),0.0 (%),0.0 (%)
12,0.8 (%),96.2 (%),3.0 (%),0.0 (%),0.0 (%)
