Number,level1,level2,level3,level4,level5
1,0.0 (%),30.6 (%),69.4 (%),0.0 (%),0.0 (%)
2,0.0 (%),40.0 (%),60.0 (%),0.0 (%),0.0 (%)
3,0.0 (%),42.9 (%),57.1 (%),0.0 (%),0.0 (%)
4,0.0 (%),41.1 (%),57.8 (%),1.1 (%),0.0 (%)
5,0.0 (%),46.3 (%),53.7 (%),0.0 (%),0.0 (%)
6,0.0 (%),45.0 (%),51.2 (%),3.8 (%),0.0 (%)
7,0.0 (%),75.4 (%),23.9 (%),0.7 (%),0.0 (%)
8,0.0 (%),52.4 (%),47.1 (%),0.5 (%),0.0 (%)
9,0.0 (%),55.0 (%),44.6 (%),0.4 (%),0.0 (%)
10,0.0 (%),68.2 (%),30.2 (%),1.7 (%),0.0 (%)
11,1.4 (%),70.0 (%),28.6 (%),0.0 (%),0.0 (%)
12,0.0 (%),83.2 (%),16.3 (%),0.5 (%),0.0 (%)
13,1.5 (%),83.7 (%),14.5 (%),0.3 (%),0.0 (%)
14,6.2 (%),86.2 (%),7.7 (%),0.0 (%),0.0 (%)
15,21.2 (%),75.4 (%),3.4 (%),0.0 (%),0.0 (%)
16,15.3 (%),76.4 (%),8.3 (%),0.0 (%),0.0 (%)
17,4.8 (%),81.0 (%),14.3 (%),0.0 (%),0.0 (%)
