Number,level1,level2,level3,level4,level5
1,0.0 (%),45.0 (%),55.0 (%),0.0 (%),0.0 (%)
2,0.0 (%),35.6 (%),63.6 (%),0.8 (%),0.0 (%)
3,0.0 (%),31.6 (%),67.3 (%),1.1 (%),0.0 (%)
4,0.0 (%),30.8 (%),67.1 (%),2.1 (%),0.0 (%)
5,0.0 (%),40.4 (%),55.4 (%),4.2 (%),0.0 (%)
6,0.0 (%),50.5 (%),47.3 (%),2.3 (%),0.0 (%)
7,0.0 (%),55.2 (%),43.8 (%),1.0 (%),0.0 (%)
8,0.0 (%),59.1 (%),40.5 (%),0.5 (%),0.0 (%)
9,0.0 (%),79.3 (%),20.2 (%),0.5 (%),0.0 (%)
10,2.3 (%),78.3 (%),18.3 (%),1.3 (%),0.0 (%)
11,0.0 (%),77.7 (%),22.3 (%),0.0 (%),0.0 (%)
12,3.8 (%),73.1 (%),21.8 (%),1.3 (%),0.0 (%)
13,2.7 (%),75.3 (%),21.3 (%),0.7 (%),0.0 (%)
14,13.3 (%),72.7 (%),13.0 (%),1.0 (%),0.0 (%)
15,17.0 (%),70.2 (%),12.8 (%),0.0 (%),0.0 (%)
16,21.3 (%),68.3 (%),10.0 (%),0.4 (%),0.0 (%)
