Number,level1,level2,level3,level4,level5
1,0.0 (%),23.1 (%),50.0 (%),26.9 (%),0.0 (%)
2,0.0 (%),64.0 (%),36.0 (%),0.0 (%),0.0 (%)
3,0.0 (%),44.1 (%),39.8 (%),16.0 (%),0.0 (%)
4,0.0 (%),39.0 (%),46.7 (%),14.3 (%),0.0 (%)
5,0.0 (%),41.3 (%),44.2 (%),14.6 (%),0.0 (%)
6,0.0 (%),36.4 (%),50.0 (%),13.6 (%),0.0 (%)
7,0.0 (%),38.1 (%),46.2 (%),15.7 (%),0.0 (%)
8,0.0 (%),66.0 (%),28.2 (%),5.8 (%),0.0 (%)
9,0.0 (%),40.4 (%),51.7 (%),7.8 (%),0.0 (%)
10,0.0 (%),33.3 (%),60.4 (%),6.3 (%),0.0 (%)
11,0.0 (%),54.5 (%),41.4 (%),4.1 (%),0.0 (%)
12,0.0 (%),63.6 (%),31.8 (%),4.5 (%),0.0 (%)
13,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
14,1.6 (%),98.4 (%),0.0 (%),0.0 (%),0.0 (%)
