Number,level1,level2,level3,level4,level5
1,0.0 (%),38.8 (%),61.2 (%),0.0 (%),0.0 (%)
2,0.0 (%),25.6 (%),70.0 (%),4.3 (%),0.0 (%)
3,0.0 (%),52.5 (%),46.7 (%),0.8 (%),0.0 (%)
4,0.0 (%),51.2 (%),47.5 (%),1.3 (%),0.0 (%)
5,0.0 (%),58.6 (%),38.6 (%),2.7 (%),0.0 (%)
6,0.0 (%),59.9 (%),37.3 (%),2.8 (%),0.0 (%)
7,0.0 (%),64.5 (%),35.5 (%),0.0 (%),0.0 (%)
8,0.0 (%),66.8 (%),32.3 (%),0.9 (%),0.0 (%)
9,0.0 (%),64.0 (%),32.8 (%),3.2 (%),0.0 (%)
10,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
11,0.0 (%),81.0 (%),19.0 (%),0.0 (%),0.0 (%)
12,0.0 (%),94.4 (%),5.6 (%),0.0 (%),0.0 (%)
13,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
