Number,level1,level2,level3,level4,level5
1,0.0 (%),40.0 (%),56.7 (%),3.3 (%),0.0 (%)
2,0.0 (%),26.7 (%),73.3 (%),0.0 (%),0.0 (%)
3,0.0 (%),47.7 (%),47.3 (%),5.0 (%),0.0 (%)
4,0.0 (%),33.1 (%),63.1 (%),3.8 (%),0.0 (%)
5,0.0 (%),30.7 (%),66.7 (%),2.6 (%),0.0 (%)
6,0.0 (%),39.5 (%),54.5 (%),5.9 (%),0.0 (%)
7,0.0 (%),44.6 (%),51.9 (%),3.5 (%),0.0 (%)
8,0.0 (%),45.5 (%),50.6 (%),3.9 (%),0.0 (%)
9,0.0 (%),51.9 (%),44.3 (%),3.8 (%),0.0 (%)
10,0.0 (%),58.6 (%),40.3 (%),1.1 (%),0.0 (%)
11,0.0 (%),60.2 (%),36.8 (%),3.0 (%),0.0 (%)
12,1.3 (%),71.8 (%),24.7 (%),2.2 (%),0.0 (%)
13,1.5 (%),75.1 (%),21.3 (%),2.1 (%),0.0 (%)
14,1.2 (%),79.1 (%),19.1 (%),0.6 (%),0.0 (%)
15,2.2 (%),72.8 (%),24.7 (%),0.3 (%),0.0 (%)
16,11.7 (%),77.5 (%),10.0 (%),0.8 (%),0.0 (%)
17,11.2 (%),80.1 (%),7.1 (%),1.6 (%),0.0 (%)
18,5.8 (%),83.7 (%),10.6 (%),0.0 (%),0.0 (%)
