Number,level1,level2,level3,level4,level5
1,0.0 (%),79.3 (%),20.7 (%),0.0 (%),0.0 (%)
2,0.0 (%),47.0 (%),49.6 (%),3.4 (%),0.0 (%)
3,0.0 (%),40.3 (%),56.5 (%),3.2 (%),0.0 (%)
4,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
5,0.0 (%),27.5 (%),67.5 (%),5.0 (%),0.0 (%)
6,0.0 (%),33.9 (%),66.1 (%),0.0 (%),0.0 (%)
7,0.0 (%),44.5 (%),55.5 (%),0.0 (%),0.0 (%)
8,0.0 (%),47.2 (%),50.0 (%),2.8 (%),0.0 (%)
9,0.0 (%),76.0 (%),22.7 (%),1.3 (%),0.0 (%)
10,0.0 (%),36.0 (%),64.0 (%),0.0 (%),0.0 (%)
11,0.0 (%),56.2 (%),43.8 (%),0.0 (%),0.0 (%)
12,0.0 (%),41.7 (%),50.0 (%),8.3 (%),0.0 (%)
13,0.0 (%),43.8 (%),56.2 (%),0.0 (%),0.0 (%)
