Number,level1,level2,level3,level4,level5
1,0.0 (%),60.0 (%),40.0 (%),0.0 (%),0.0 (%)
2,0.0 (%),56.2 (%),43.8 (%),0.0 (%),0.0 (%)
3,0.0 (%),39.0 (%),56.6 (%),4.4 (%),0.0 (%)
4,0.0 (%),42.9 (%),57.1 (%),0.0 (%),0.0 (%)
5,0.0 (%),41.7 (%),57.2 (%),1.1 (%),0.0 (%)
6,0.0 (%),56.1 (%),43.9 (%),0.0 (%),0.0 (%)
7,0.0 (%),67.8 (%),32.2 (%),0.0 (%),0.0 (%)
8,0.0 (%),70.4 (%),29.1 (%),0.5 (%),0.0 (%)
9,0.0 (%),76.2 (%),23.7 (%),0.0 (%),0.0 (%)
10,0.0 (%),94.6 (%),5.1 (%),0.3 (%),0.0 (%)
11,1.3 (%),97.7 (%),1.0 (%),0.0 (%),0.0 (%)
12,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
