Number,level1,level2,level3,level4,level5
1,0.0 (%),48.0 (%),52.0 (%),0.0 (%),0.0 (%)
2,0.0 (%),46.9 (%),51.9 (%),1.2 (%),0.0 (%)
3,0.0 (%),48.6 (%),51.4 (%),0.0 (%),0.0 (%)
4,0.0 (%),46.8 (%),53.2 (%),0.0 (%),0.0 (%)
5,0.0 (%),59.1 (%),38.6 (%),2.3 (%),0.0 (%)
6,0.0 (%),60.8 (%),39.2 (%),0.0 (%),0.0 (%)
7,0.0 (%),62.6 (%),37.4 (%),0.0 (%),0.0 (%)
8,0.0 (%),74.5 (%),25.5 (%),0.0 (%),0.0 (%)
9,0.0 (%),81.3 (%),18.7 (%),0.0 (%),0.0 (%)
10,0.0 (%),85.1 (%),14.9 (%),0.0 (%),0.0 (%)
11,0.0 (%),65.0 (%),35.0 (%),0.0 (%),0.0 (%)
12,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
13,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
14,0.0 (%),98.3 (%),1.7 (%),0.0 (%),0.0 (%)
