Number,level1,level2,level3,level4,level5
1,0.0 (%),66.7 (%),33.3 (%),0.0 (%),0.0 (%)
2,0.0 (%),63.4 (%),33.3 (%),3.3 (%),0.0 (%)
3,0.0 (%),55.2 (%),39.7 (%),5.2 (%),0.0 (%)
4,0.4 (%),52.4 (%),42.7 (%),4.4 (%),0.0 (%)
5,0.8 (%),65.1 (%),33.2 (%),0.8 (%),0.0 (%)
6,0.0 (%),0.0 (%),100.0 (%),0.0 (%),0.0 (%)
7,0.0 (%),45.6 (%),51.1 (%),3.3 (%),0.0 (%)
8,0.0 (%),63.6 (%),33.6 (%),2.7 (%),0.0 (%)
9,0.0 (%),62.5 (%),35.8 (%),1.7 (%),0.0 (%)
10,0.0 (%),46.6 (%),49.8 (%),3.6 (%),0.0 (%)
11,0.0 (%),62.6 (%),34.3 (%),3.0 (%),0.0 (%)
12,0.0 (%),64.8 (%),33.5 (%),1.7 (%),0.0 (%)
13,0.0 (%),65.3 (%),32.4 (%),2.3 (%),0.0 (%)
14,0.0 (%),62.5 (%),37.5 (%),0.0 (%),0.0 (%)
15,0.0 (%),82.8 (%),14.1 (%),3.0 (%),0.0 (%)
