Number,level1,level2,level3,level4,level5
1,0.0 (%),35.0 (%),65.0 (%),0.0 (%),0.0 (%)
2,0.0 (%),40.6 (%),57.8 (%),1.7 (%),0.0 (%)
3,0.0 (%),51.2 (%),48.2 (%),0.6 (%),0.0 (%)
4,0.0 (%),34.2 (%),64.9 (%),0.9 (%),0.0 (%)
5,0.0 (%),54.3 (%),43.2 (%),2.5 (%),0.0 (%)
6,0.0 (%),51.5 (%),48.5 (%),0.0 (%),0.0 (%)
7,0.0 (%),46.0 (%),52.9 (%),1.1 (%),0.0 (%)
8,0.0 (%),50.5 (%),49.5 (%),0.0 (%),0.0 (%)
9,0.0 (%),66.1 (%),33.9 (%),0.0 (%),0.0 (%)
10,0.0 (%),94.6 (%),5.4 (%),0.0 (%),0.0 (%)
11,0.5 (%),90.9 (%),8.6 (%),0.0 (%),0.0 (%)
12,0.0 (%),92.6 (%),7.4 (%),0.0 (%),0.0 (%)
13,4.3 (%),91.3 (%),4.3 (%),0.0 (%),0.0 (%)
