Number,level1,level2,level3,level4,level5
1,0.0 (%),52.6 (%),45.0 (%),2.3 (%),0.0 (%)
2,0.0 (%),58.2 (%),41.5 (%),0.3 (%),0.0 (%)
3,0.0 (%),44.4 (%),55.1 (%),0.5 (%),0.0 (%)
4,0.0 (%),47.5 (%),52.5 (%),0.0 (%),0.0 (%)
5,0.0 (%),53.3 (%),42.8 (%),3.9 (%),0.0 (%)
6,0.0 (%),61.5 (%),38.5 (%),0.0 (%),0.0 (%)
7,0.0 (%),67.3 (%),32.7 (%),0.0 (%),0.0 (%)
8,0.0 (%),73.0 (%),27.0 (%),0.0 (%),0.0 (%)
9,0.0 (%),62.9 (%),37.1 (%),0.0 (%),0.0 (%)
10,0.0 (%),76.9 (%),23.1 (%),0.0 (%),0.0 (%)
11,0.0 (%),88.2 (%),11.8 (%),0.0 (%),0.0 (%)
12,0.0 (%),97.8 (%),2.2 (%),0.0 (%),0.0 (%)
