Number,level1,level2,level3,level4,level5
1,0.0 (%),24.0 (%),76.0 (%),0.0 (%),0.0 (%)
2,0.0 (%),37.0 (%),62.3 (%),0.6 (%),0.0 (%)
3,0.0 (%),28.2 (%),65.0 (%),6.8 (%),0.0 (%)
4,0.0 (%),25.8 (%),68.9 (%),5.3 (%),0.0 (%)
5,0.0 (%),42.1 (%),57.9 (%),0.0 (%),0.0 (%)
6,0.0 (%),55.0 (%),41.9 (%),3.1 (%),0.0 (%)
7,0.0 (%),55.2 (%),41.7 (%),3.2 (%),0.0 (%)
8,0.0 (%),63.0 (%),36.5 (%),0.5 (%),0.0 (%)
9,0.0 (%),70.5 (%),29.5 (%),0.0 (%),0.0 (%)
10,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
11,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
12,6.9 (%),86.8 (%),4.9 (%),1.4 (%),0.0 (%)
13,2.8 (%),75.9 (%),16.7 (%),4.6 (%),0.0 (%)
14,14.3 (%),73.0 (%),12.7 (%),0.0 (%),0.0 (%)
15,26.8 (%),50.0 (%),21.4 (%),1.8 (%),0.0 (%)
