Number,level1,level2,level3,level4,level5
1,0.0 (%),37.8 (%),56.9 (%),5.2 (%),0.0 (%)
2,0.0 (%),25.1 (%),74.5 (%),0.4 (%),0.0 (%)
3,0.0 (%),57.1 (%),40.0 (%),2.9 (%),0.0 (%)
4,0.0 (%),34.5 (%),62.3 (%),3.2 (%),0.0 (%)
5,0.0 (%),0.0 (%),100.0 (%),0.0 (%),0.0 (%)
6,0.0 (%),32.9 (%),64.9 (%),2.2 (%),0.0 (%)
7,0.0 (%),42.4 (%),54.9 (%),2.7 (%),0.0 (%)
8,0.0 (%),40.3 (%),57.7 (%),2.0 (%),0.0 (%)
9,0.0 (%),53.6 (%),45.7 (%),0.7 (%),0.0 (%)
10,0.0 (%),69.6 (%),29.6 (%),0.9 (%),0.0 (%)
11,0.0 (%),83.5 (%),16.3 (%),0.2 (%),0.0 (%)
12,0.0 (%),83.8 (%),16.2 (%),0.0 (%),0.0 (%)
13,0.0 (%),80.1 (%),18.8 (%),1.1 (%),0.0 (%)
14,4.2 (%),87.8 (%),7.9 (%),0.0 (%),0.0 (%)
