Number,level1,level2,level3,level4,level5
1,0.0 (%),47.8 (%),52.2 (%),0.0 (%),0.0 (%)
2,0.0 (%),40.6 (%),58.5 (%),0.9 (%),0.0 (%)
3,0.0 (%),43.3 (%),51.7 (%),5.0 (%),0.0 (%)
4,0.0 (%),57.7 (%),40.9 (%),1.4 (%),0.0 (%)
5,0.0 (%),81.6 (%),17.9 (%),0.5 (%),0.0 (%)
6,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
7,0.0 (%),87.2 (%),12.8 (%),0.0 (%),0.0 (%)
8,3.4 (%),86.5 (%),10.1 (%),0.0 (%),0.0 (%)
9,7.3 (%),80.2 (%),12.5 (%),0.0 (%),0.0 (%)
10,37.6 (%),54.5 (%),7.9 (%),0.0 (%),0.0 (%)
11,14.4 (%),76.0 (%),9.6 (%),0.0 (%),0.0 (%)
12,29.2 (%),64.0 (%),6.8 (%),0.0 (%),0.0 (%)
13,18.8 (%),68.8 (%),11.6 (%),0.9 (%),0.0 (%)
