Number,level1,level2,level3,level4,level5
1,0.0 (%),33.3 (%),51.9 (%),14.8 (%),0.0 (%)
2,0.0 (%),46.1 (%),50.0 (%),3.9 (%),0.0 (%)
3,0.0 (%),43.2 (%),52.5 (%),4.3 (%),0.0 (%)
4,0.0 (%),42.9 (%),53.2 (%),3.9 (%),0.0 (%)
5,0.0 (%),49.5 (%),45.7 (%),4.8 (%),0.0 (%)
6,0.0 (%),75.0 (%),24.4 (%),0.6 (%),0.0 (%)
7,0.0 (%),84.7 (%),13.5 (%),1.8 (%),0.0 (%)
8,0.5 (%),87.6 (%),11.4 (%),0.5 (%),0.0 (%)
9,0.9 (%),77.5 (%),19.7 (%),1.8 (%),0.0 (%)
10,1.7 (%),80.0 (%),18.0 (%),0.3 (%),0.0 (%)
11,42.9 (%),51.6 (%),5.4 (%),0.0 (%),0.0 (%)
