Number,level1,level2,level3,level4,level5
1,0.0 (%),41.0 (%),53.8 (%),5.1 (%),0.0 (%)
2,0.0 (%),35.7 (%),54.3 (%),10.0 (%),0.0 (%)
3,0.0 (%),28.9 (%),60.0 (%),11.1 (%),0.0 (%)
4,0.0 (%),22.7 (%),61.5 (%),15.8 (%),0.0 (%)
5,0.0 (%),29.8 (%),58.7 (%),11.5 (%),0.0 (%)
6,0.0 (%),34.1 (%),53.8 (%),12.1 (%),0.0 (%)
7,0.0 (%),45.8 (%),45.8 (%),8.3 (%),0.0 (%)
8,0.0 (%),44.7 (%),42.7 (%),12.6 (%),0.0 (%)
9,0.0 (%),45.2 (%),43.8 (%),11.0 (%),0.0 (%)
10,0.0 (%),36.0 (%),60.0 (%),4.0 (%),0.0 (%)
11,0.0 (%),76.0 (%),22.7 (%),1.3 (%),0.0 (%)
12,0.0 (%),66.5 (%),29.0 (%),4.5 (%),0.0 (%)
13,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
