Number,level1,level2,level3,level4,level5
1,0.0 (%),47.5 (%),48.0 (%),4.5 (%),0.0 (%)
2,0.0 (%),27.8 (%),67.9 (%),4.4 (%),0.0 (%)
3,0.0 (%),40.0 (%),57.5 (%),2.5 (%),0.0 (%)
4,0.0 (%),48.3 (%),48.6 (%),3.1 (%),0.0 (%)
5,0.0 (%),59.1 (%),38.9 (%),2.0 (%),0.0 (%)
6,0.0 (%),68.3 (%),30.2 (%),1.6 (%),0.0 (%)
7,0.0 (%),44.2 (%),55.8 (%),0.0 (%),0.0 (%)
8,0.0 (%),45.8 (%),54.2 (%),0.0 (%),0.0 (%)
9,0.0 (%),46.7 (%),53.3 (%),0.0 (%),0.0 (%)
10,0.0 (%),25.0 (%),75.0 (%),0.0 (%),0.0 (%)
11,0.0 (%),75.0 (%),25.0 (%),0.0 (%),0.0 (%)
12,0.0 (%),41.7 (%),58.3 (%),0.0 (%),0.0 (%)
13,6.0 (%),90.0 (%),4.1 (%),0.0 (%),0.0 (%)
