Number,level1,level2,level3,level4,level5
1,0.0 (%),32.9 (%),64.4 (%),2.7 (%),0.0 (%)
2,0.0 (%),38.3 (%),53.6 (%),8.1 (%),0.0 (%)
3,0.0 (%),42.6 (%),52.4 (%),5.0 (%),0.0 (%)
4,0.0 (%),29.0 (%),67.1 (%),3.9 (%),0.0 (%)
5,0.0 (%),64.0 (%),30.2 (%),5.8 (%),0.0 (%)
6,0.0 (%),64.0 (%),32.8 (%),3.2 (%),0.0 (%)
7,0.0 (%),13.3 (%),86.7 (%),0.0 (%),0.0 (%)
8,0.0 (%),71.4 (%),27.2 (%),1.4 (%),0.0 (%)
9,0.0 (%),79.2 (%),18.8 (%),1.9 (%),0.0 (%)
10,0.0 (%),53.3 (%),46.7 (%),0.0 (%),0.0 (%)
11,0.0 (%),56.2 (%),43.8 (%),0.0 (%),0.0 (%)
