Number,level1,level2,level3,level4,level5
1,0.0 (%),37.5 (%),62.5 (%),0.0 (%),0.0 (%)
2,0.0 (%),8.0 (%),92.0 (%),0.0 (%),0.0 (%)
3,0.0 (%),45.9 (%),50.4 (%),3.7 (%),0.0 (%)
4,0.0 (%),34.6 (%),62.4 (%),3.0 (%),0.0 (%)
5,0.0 (%),37.3 (%),58.3 (%),4.4 (%),0.0 (%)
6,0.0 (%),47.8 (%),46.9 (%),5.3 (%),0.0 (%)
7,0.0 (%),58.3 (%),37.1 (%),4.6 (%),0.0 (%)
8,0.0 (%),81.4 (%),18.6 (%),0.0 (%),0.0 (%)
9,0.0 (%),68.8 (%),31.2 (%),0.0 (%),0.0 (%)
10,0.0 (%),52.5 (%),47.5 (%),0.0 (%),0.0 (%)
11,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
12,0.0 (%),57.1 (%),42.9 (%),0.0 (%),0.0 (%)
13,0.2 (%),97.1 (%),2.7 (%),0.0 (%),0.0 (%)
14,1.6 (%),94.5 (%),3.9 (%),0.0 (%),0.0 (%)
15,16.5 (%),78.3 (%),5.2 (%),0.0 (%),0.0 (%)
