Number,level1,level2,level3,level4,level5
1,0.0 (%),41.2 (%),55.9 (%),2.9 (%),0.0 (%)
2,0.0 (%),45.6 (%),50.6 (%),3.9 (%),0.0 (%)
3,0.0 (%),28.6 (%),67.1 (%),4.3 (%),0.0 (%)
4,0.0 (%),40.3 (%),56.7 (%),3.1 (%),0.0 (%)
5,0.0 (%),44.3 (%),55.0 (%),0.7 (%),0.0 (%)
6,0.0 (%),34.0 (%),63.6 (%),2.4 (%),0.0 (%)
7,0.0 (%),34.1 (%),64.3 (%),1.6 (%),0.0 (%)
8,0.0 (%),40.6 (%),59.1 (%),0.3 (%),0.0 (%)
9,0.0 (%),58.5 (%),40.8 (%),0.6 (%),0.0 (%)
10,0.0 (%),65.2 (%),32.5 (%),2.4 (%),0.0 (%)
11,0.0 (%),66.2 (%),32.3 (%),1.5 (%),0.0 (%)
12,1.9 (%),62.4 (%),35.3 (%),0.4 (%),0.0 (%)
13,1.9 (%),74.1 (%),22.8 (%),1.2 (%),0.0 (%)
14,1.6 (%),65.2 (%),31.0 (%),2.3 (%),0.0 (%)
15,5.1 (%),67.4 (%),26.7 (%),0.8 (%),0.0 (%)
16,1.9 (%),68.0 (%),28.8 (%),1.2 (%),0.0 (%)
17,6.7 (%),68.8 (%),24.3 (%),0.2 (%),0.0 (%)
18,18.8 (%),52.9 (%),27.4 (%),0.9 (%),0.0 (%)
19,12.4 (%),73.3 (%),14.3 (%),0.0 (%),0.0 (%)
20,10.1 (%),74.0 (%),16.0 (%),0.0 (%),0.0 (%)
21,16.6 (%),58.5 (%),24.9 (%),0.0 (%),0.0 (%)
22,25.5 (%),62.2 (%),12.2 (%),0.0 (%),0.0 (%)
23,37.5 (%),50.5 (%),12.0 (%),0.0 (%),0.0 (%)
