Number,level1,level2,level3,level4,level5
1,0.0 (%),61.4 (%),38.6 (%),0.0 (%),0.0 (%)
2,0.0 (%),38.6 (%),59.6 (%),1.8 (%),0.0 (%)
3,0.0 (%),71.7 (%),28.3 (%),0.0 (%),0.0 (%)
4,3.5 (%),84.1 (%),12.2 (%),0.2 (%),0.0 (%)
5,0.0 (%),91.2 (%),8.8 (%),0.0 (%),0.0 (%)
6,0.0 (%),85.7 (%),14.3 (%),0.0 (%),0.0 (%)
7,2.0 (%),93.9 (%),4.0 (%),0.0 (%),0.0 (%)
8,0.9 (%),94.3 (%),4.8 (%),0.0 (%),0.0 (%)
9,1.1 (%),89.4 (%),9.5 (%),0.0 (%),0.0 (%)
10,4.9 (%),90.3 (%),4.9 (%),0.0 (%),0.0 (%)
11,5.0 (%),81.2 (%),13.8 (%),0.0 (%),0.0 (%)
