Number,level1,level2,level3,level4,level5
1,0.0 (%),38.2 (%),60.3 (%),1.5 (%),0.0 (%)
2,0.0 (%),27.8 (%),72.2 (%),0.0 (%),0.0 (%)
3,0.0 (%),4.2 (%),95.8 (%),0.0 (%),0.0 (%)
4,0.0 (%),47.2 (%),52.8 (%),0.0 (%),0.0 (%)
5,0.0 (%),31.6 (%),65.5 (%),2.9 (%),0.0 (%)
6,0.0 (%),55.5 (%),43.8 (%),0.7 (%),0.0 (%)
7,0.0 (%),25.4 (%),74.1 (%),0.4 (%),0.0 (%)
8,0.0 (%),42.0 (%),51.9 (%),6.1 (%),0.0 (%)
9,0.0 (%),50.0 (%),46.4 (%),3.6 (%),0.0 (%)
10,0.0 (%),43.2 (%),50.6 (%),6.2 (%),0.0 (%)
11,0.0 (%),43.8 (%),56.2 (%),0.0 (%),0.0 (%)
12,0.0 (%),62.9 (%),37.1 (%),0.0 (%),0.0 (%)
13,4.0 (%),96.0 (%),0.0 (%),0.0 (%),0.0 (%)
14,0.0 (%),97.4 (%),2.6 (%),0.0 (%),0.0 (%)
15,15.0 (%),85.0 (%),0.0 (%),0.0 (%),0.0 (%)
16,8.3 (%),88.3 (%),3.4 (%),0.0 (%),0.0 (%)
17,4.0 (%),96.0 (%),0.0 (%),0.0 (%),0.0 (%)
18,16.7 (%),83.3 (%),0.0 (%),0.0 (%),0.0 (%)
