Number,level1,level2,level3,level4,level5
1,0.0 (%),0.0 (%),100.0 (%),0.0 (%),0.0 (%)
2,0.0 (%),38.6 (%),57.5 (%),3.9 (%),0.0 (%)
3,0.0 (%),38.4 (%),59.2 (%),2.4 (%),0.0 (%)
4,0.0 (%),34.2 (%),61.6 (%),4.2 (%),0.0 (%)
5,0.0 (%),52.8 (%),44.6 (%),2.6 (%),0.0 (%)
6,0.0 (%),51.4 (%),44.3 (%),4.3 (%),0.0 (%)
7,0.0 (%),66.2 (%),31.4 (%),2.4 (%),0.0 (%)
8,0.0 (%),64.6 (%),33.3 (%),2.0 (%),0.0 (%)
9,0.0 (%),67.3 (%),32.0 (%),0.7 (%),0.0 (%)
10,0.0 (%),40.0 (%),60.0 (%),0.0 (%),0.0 (%)
11,0.0 (%),57.1 (%),42.9 (%),0.0 (%),0.0 (%)
12,0.0 (%),91.0 (%),9.0 (%),0.0 (%),0.0 (%)
