Number,level1,level2,level3,level4,level5
1,0.0 (%),54.2 (%),45.1 (%),0.7 (%),0.0 (%)
2,0.0 (%),51.8 (%),46.7 (%),1.5 (%),0.0 (%)
3,0.0 (%),33.2 (%),61.5 (%),5.3 (%),0.0 (%)
4,0.0 (%),42.5 (%),56.2 (%),1.3 (%),0.0 (%)
5,0.0 (%),51.4 (%),47.3 (%),1.4 (%),0.0 (%)
6,0.0 (%),49.0 (%),50.0 (%),1.0 (%),0.0 (%)
7,0.0 (%),72.0 (%),23.8 (%),4.2 (%),0.0 (%)
8,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
9,0.0 (%),47.6 (%),52.4 (%),0.0 (%),0.0 (%)
10,0.0 (%),62.5 (%),37.5 (%),0.0 (%),0.0 (%)
11,0.0 (%),60.7 (%),39.3 (%),0.0 (%),0.0 (%)
12,6.6 (%),93.2 (%),0.2 (%),0.0 (%),0.0 (%)
