Number,level1,level2,level3,level4,level5
1,0.0 (%),44.0 (%),50.2 (%),5.7 (%),0.0 (%)
2,0.0 (%),31.4 (%),58.9 (%),9.6 (%),0.0 (%)
3,0.0 (%),22.5 (%),65.4 (%),12.1 (%),0.0 (%)
4,0.0 (%),31.7 (%),60.0 (%),8.3 (%),0.0 (%)
5,0.0 (%),45.1 (%),48.1 (%),6.8 (%),0.0 (%)
6,0.0 (%),45.4 (%),52.7 (%),1.8 (%),0.0 (%)
7,0.0 (%),36.4 (%),59.1 (%),4.5 (%),0.0 (%)
8,0.0 (%),50.4 (%),45.5 (%),4.1 (%),0.0 (%)
9,0.0 (%),54.5 (%),42.0 (%),3.4 (%),0.0 (%)
10,0.0 (%),76.2 (%),23.0 (%),0.8 (%),0.0 (%)
11,0.5 (%),80.5 (%),17.3 (%),1.6 (%),0.0 (%)
12,1.3 (%),82.4 (%),15.2 (%),1.1 (%),0.0 (%)
13,0.0 (%),84.3 (%),14.9 (%),0.8 (%),0.0 (%)
14,2.9 (%),82.1 (%),13.8 (%),1.3 (%),0.0 (%)
15,14.5 (%),75.2 (%),9.4 (%),0.9 (%),0.0 (%)
