Number,level1,level2,level3,level4,level5
1,0.0 (%),16.0 (%),84.0 (%),0.0 (%),0.0 (%)
2,0.0 (%),45.9 (%),52.6 (%),1.4 (%),0.0 (%)
3,0.0 (%),38.9 (%),61.1 (%),0.0 (%),0.0 (%)
4,0.0 (%),42.7 (%),55.0 (%),2.3 (%),0.0 (%)
5,0.0 (%),59.2 (%),38.8 (%),1.9 (%),0.0 (%)
6,0.0 (%),60.4 (%),39.6 (%),0.0 (%),0.0 (%)
7,0.0 (%),61.5 (%),36.8 (%),1.7 (%),0.0 (%)
8,0.0 (%),64.8 (%),35.2 (%),0.0 (%),0.0 (%)
9,0.0 (%),69.5 (%),30.5 (%),0.0 (%),0.0 (%)
10,0.0 (%),73.3 (%),26.7 (%),0.0 (%),0.0 (%)
11,0.0 (%),87.4 (%),12.6 (%),0.0 (%),0.0 (%)
12,0.0 (%),84.2 (%),15.7 (%),0.0 (%),0.0 (%)
13,0.9 (%),88.3 (%),10.8 (%),0.0 (%),0.0 (%)
14,6.8 (%),77.7 (%),15.5 (%),0.0 (%),0.0 (%)
