Number,level1,level2,level3,level4,level5
1,0.0 (%),45.2 (%),54.8 (%),0.0 (%),0.0 (%)
2,0.0 (%),50.7 (%),47.9 (%),1.4 (%),0.0 (%)
3,0.0 (%),47.1 (%),52.9 (%),0.0 (%),0.0 (%)
4,0.0 (%),28.7 (%),63.1 (%),8.1 (%),0.0 (%)
5,0.0 (%),71.2 (%),26.2 (%),2.6 (%),0.0 (%)
6,0.0 (%),45.2 (%),51.2 (%),3.6 (%),0.0 (%)
7,0.0 (%),64.3 (%),33.8 (%),1.9 (%),0.0 (%)
8,0.0 (%),61.9 (%),37.5 (%),0.6 (%),0.0 (%)
9,0.0 (%),61.9 (%),38.1 (%),0.0 (%),0.0 (%)
10,0.0 (%),92.0 (%),8.0 (%),0.0 (%),0.0 (%)
11,0.0 (%),94.7 (%),5.3 (%),0.0 (%),0.0 (%)
12,0.0 (%),86.5 (%),13.5 (%),0.0 (%),0.0 (%)
