Number,level1,level2,level3,level4,level5
1,0.1 (%),44.5 (%),48.6 (%),6.9 (%),0.0 (%)
2,0.0 (%),22.0 (%),63.2 (%),14.8 (%),0.0 (%)
3,0.0 (%),20.9 (%),67.8 (%),11.3 (%),0.0 (%)
4,0.0 (%),52.8 (%),42.0 (%),5.2 (%),0.0 (%)
5,0.0 (%),26.4 (%),67.2 (%),6.4 (%),0.0 (%)
6,0.0 (%),48.6 (%),47.0 (%),4.4 (%),0.0 (%)
7,0.0 (%),38.3 (%),58.7 (%),2.9 (%),0.0 (%)
8,0.0 (%),56.8 (%),40.2 (%),3.0 (%),0.0 (%)
9,0.0 (%),42.2 (%),56.5 (%),1.3 (%),0.0 (%)
10,0.0 (%),42.5 (%),55.4 (%),2.1 (%),0.0 (%)
11,0.0 (%),37.5 (%),62.5 (%),0.0 (%),0.0 (%)
12,0.0 (%),73.5 (%),25.0 (%),1.5 (%),0.0 (%)
13,0.0 (%),33.3 (%),66.7 (%),0.0 (%),0.0 (%)
