Number,level1,level2,level3,level4,level5
1,0.0 (%),66.7 (%),33.3 (%),0.0 (%),0.0 (%)
2,0.0 (%),38.9 (%),61.1 (%),0.0 (%),0.0 (%)
3,0.0 (%),32.1 (%),67.9 (%),0.0 (%),0.0 (%)
4,0.0 (%),29.4 (%),66.7 (%),3.9 (%),0.0 (%)
5,0.0 (%),32.5 (%),60.4 (%),7.1 (%),0.0 (%)
6,0.0 (%),48.5 (%),46.3 (%),5.2 (%),0.0 (%)
7,0.0 (%),50.5 (%),49.5 (%),0.0 (%),0.0 (%)
8,0.0 (%),64.8 (%),33.8 (%),1.4 (%),0.0 (%)
9,0.0 (%),64.6 (%),35.4 (%),0.0 (%),0.0 (%)
10,0.0 (%),44.9 (%),55.1 (%),0.0 (%),0.0 (%)
11,0.0 (%),74.6 (%),25.4 (%),0.0 (%),0.0 (%)
12,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
13,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
14,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
