Number,level1,level2,level3,level4,level5
1,0.0 (%),33.3 (%),55.6 (%),11.1 (%),0.0 (%)
2,0.0 (%),33.3 (%),66.7 (%),0.0 (%),0.0 (%)
3,0.0 (%),35.5 (%),55.3 (%),9.2 (%),0.0 (%)
4,0.0 (%),26.8 (%),58.9 (%),14.2 (%),0.0 (%)
5,0.0 (%),36.8 (%),55.3 (%),7.9 (%),0.0 (%)
6,0.0 (%),42.9 (%),46.7 (%),10.4 (%),0.0 (%)
7,0.0 (%),62.0 (%),30.8 (%),7.2 (%),0.0 (%)
8,0.0 (%),56.5 (%),35.5 (%),8.0 (%),0.0 (%)
9,0.0 (%),49.0 (%),47.4 (%),3.6 (%),0.0 (%)
10,0.0 (%),45.8 (%),48.1 (%),6.1 (%),0.0 (%)
11,0.0 (%),55.0 (%),41.7 (%),3.3 (%),0.0 (%)
12,0.0 (%),60.5 (%),35.5 (%),4.1 (%),0.0 (%)
13,0.0 (%),68.1 (%),27.5 (%),4.3 (%),0.0 (%)
14,3.1 (%),87.5 (%),7.5 (%),2.0 (%),0.0 (%)
15,16.4 (%),77.1 (%),5.0 (%),1.4 (%),0.0 (%)
16,9.0 (%),67.7 (%),19.0 (%),4.3 (%),0.0 (%)
