Number,level1,level2,level3,level4,level5
1,0.0 (%),40.8 (%),53.1 (%),6.1 (%),0.0 (%)
2,0.0 (%),47.9 (%),44.3 (%),7.9 (%),0.0 (%)
3,0.0 (%),47.8 (%),45.6 (%),6.7 (%),0.0 (%)
4,0.0 (%),37.2 (%),51.1 (%),11.7 (%),0.0 (%)
5,0.0 (%),54.1 (%),38.2 (%),7.7 (%),0.0 (%)
6,0.0 (%),61.0 (%),34.6 (%),4.3 (%),0.0 (%)
7,0.0 (%),63.5 (%),33.3 (%),3.2 (%),0.0 (%)
8,0.0 (%),75.7 (%),22.8 (%),1.6 (%),0.0 (%)
9,0.0 (%),62.5 (%),37.5 (%),0.0 (%),0.0 (%)
10,0.0 (%),60.0 (%),40.0 (%),0.0 (%),0.0 (%)
11,0.9 (%),98.7 (%),0.4 (%),0.0 (%),0.0 (%)
12,0.0 (%),96.3 (%),3.7 (%),0.0 (%),0.0 (%)
13,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
