Number,level1,level2,level3,level4,level5
1,0.0 (%),43.8 (%),56.2 (%),0.0 (%),0.0 (%)
2,0.0 (%),30.0 (%),70.0 (%),0.0 (%),0.0 (%)
3,0.0 (%),49.3 (%),50.7 (%),0.0 (%),0.0 (%)
4,0.0 (%),53.3 (%),46.7 (%),0.0 (%),0.0 (%)
5,0.0 (%),67.1 (%),32.9 (%),0.0 (%),0.0 (%)
6,0.0 (%),58.3 (%),41.7 (%),0.0 (%),0.0 (%)
7,0.0 (%),81.9 (%),18.1 (%),0.0 (%),0.0 (%)
8,0.0 (%),84.4 (%),15.6 (%),0.0 (%),0.0 (%)
9,0.0 (%),96.3 (%),3.7 (%),0.0 (%),0.0 (%)
10,0.0 (%),91.3 (%),8.7 (%),0.0 (%),0.0 (%)
11,0.0 (%),100.0 (%),0.0 (%),0.0 (%),0.0 (%)
