Number,level1,level2,level3,level4,level5
1,0.0 (%),30.9 (%),69.1 (%),0.0 (%),0.0 (%)
2,0.0 (%),38.9 (%),57.2 (%),3.9 (%),0.0 (%)
3,0.0 (%),28.5 (%),61.5 (%),9.9 (%),0.0 (%)
4,0.0 (%),26.8 (%),68.4 (%),4.8 (%),0.0 (%)
5,0.0 (%),45.2 (%),48.8 (%),6.0 (%),0.0 (%)
6,0.0 (%),67.6 (%),29.5 (%),2.9 (%),0.0 (%)
7,0.0 (%),61.4 (%),34.8 (%),3.8 (%),0.0 (%)
8,0.0 (%),75.3 (%),22.2 (%),2.5 (%),0.0 (%)
9,0.0 (%),43.3 (%),56.7 (%),0.0 (%),0.0 (%)
10,0.0 (%),65.0 (%),35.0 (%),0.0 (%),0.0 (%)
11,0.0 (%),50.0 (%),50.0 (%),0.0 (%),0.0 (%)
